F001_a,leader_18,isbn_tag,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,F26x_b_cleaned_pro
957391635,i,0--9935471,2016,1,0,1,tim haigh publishing,tim haigh publishing
1013208492,i,1--5348,2017,1,0,1,karl a. minner,karl a minner
906697223,a,1--85423,1988,0,1,0,ifs,ifs
925537399,i,0--9910147,2014,1,0,1,praetorius publishers llc,praetorius publishers llc
5677169,i,0--521,1980,0,0,1,cambridge university press,cambridge university press
950880541,i,1--119,2016,1,0,1,john wiley and sons inc,john wiley and sons inc
1076545326,i,1--4182,2019,1,0,1,pearson,pearson
909320922,i,1--137,2015,1,0,1,palgrave macmillan,palgrave macmillan
946531029,i,1--84611,2007,1,0,1,mantra lingua,mantra lingua
2633241,a,0--07,1977,0,1,0,mcgraw-hill,mcgraw hill
1030490882,i,1--4722,2018,1,0,1,headline,headline
911211231,i,1--315 ;; 1--56324,2015,0,1,0,routledge,routledge
244576034,i,1--4263,2008,1,0,1,national geographic,national geographic
858959772,i,1--61197,2014,1,0,1,society for industrial and applied mathematics,society for industrial and applied mathematics
944972687,i,0--13,2014,1,0,1,pearson,pearson
824700507,a,0--00 ;; 0--06,1997,0,1,0,collins,collins
953426808,i,3--7913,2014,1,0,1,delmonico books,delmonico books
493327237,i,0--8176,2006,0,1,0,birkhäuser,birkha user
1008976800,i,1--138,2018,1,0,1,routledge,routledge
909899016,i,1--5040,2000,1,0,1,peanuts,peanuts
1048444003,i,0--316,2019,1,0,1,"little, brown and company",little brown and company
1033782506,i,1--63557,2019,1,0,1,bloomsbury publishing inc,bloomsbury publishing inc
1058906169,i,1--4529,2017,1,1,1,university of minnesota press,university of minnesota press
864081948,a,1--906364,2013,0,0,1,confraternity of saint james,confraternity of saint james
897882236,i,1--119,2015,1,0,1,john wiley and sons inc,john wiley and sons inc
15083991,a,0--8161,1987,0,1,0,g.k. hall,g k hall
874150590,i,1--304,2013,1,0,1,sheba blake publishing,sheba blake publishing
921869581,i,1--5040,2016,1,0,1,open road integrated media inc,open road integrated media inc
909311063,i,0--19,2015,1,0,1,oxford university press,oxford university press
961117649,i,0--8222,2016,1,0,1,dramatists play service inc,dramatists play service inc
8084418,a,0--902030,1974,0,1,0,new park publications,new park publications
1040695068,i,1--948338,2017,1,0,1,encircle publications,encircle publications
959398435,i,0--316,2016,1,0,1,"little, brown and company",little brown and company
1016956025,i,1--78416,2018,0,0,1,black swan,black swan
490422769,i,0--387,1999,0,1,0,springer,springer
758350150,i,0--87584,1989,0,1,0,harvard business school,harvard business school
881843077,i,0--415,2014,1,0,1,"routledge, taylor and francis group",routledge taylor and francis group
1029693519,i,0--06,2016,1,0,1,harper,harper
913451582,i,0--9677480,2012,1,0,1,notramour press,notramour press
868953845,i,3--11,2004,1,0,1,w. de gruyter,w de gruyter
907294053,i,1--107,2015,0,1,0,cambridge university press,cambridge university press
29667695,i,0--679,1996,0,0,1,knopf,knopf
44272418,a,0--439,2000,0,1,0,scholastic inc,scholastic inc
6433892,i,0--674,1978,0,1,0,harvard university press,harvard university press
1088438296,i,1--946633,2018,1,0,1,forbesbooks,forbesbooks
1097149222,i,0--19,2015,1,0,1,oxford university press,oxford university press
959801152,i,1--78068,2016,1,0,1,intersentia,intersentia
904315368,a,0--87389,2014,0,2,0,asq quality press,asq quality press
1059477181,i,0--89145,1978,0,0,1,collector books,collector books
942006171,i,1--339,2015,1,0,1,proquest llc,proquest llc
77052740,i,0--88214,1967,0,1,0,collins,collins
758840598,i,0--06,2010,0,1,0,harper-collins,harper collins
25024692,a,0--590,1991,0,1,0,scholastic,scholastic
48379002,a,1--56027,2002,0,1,0,aviation supplies and academics,aviation supplies and academics
1084324808,i,1--4987,2015,0,1,0,"crc press, taylor and francis group",crc press taylor and francis group
64713713,a,0--439,2006,0,1,0,scholastic,scholastic
951020238,i,1--62286,2005,1,0,1,urban books,urban books
492469983,i,0--444,2002,0,1,0,elsevier,elsevier
893676459,i,1--4649,2012,1,0,1,scholarlyeditions,scholarlyeditions
908747870,a,1--78374,2014,0,2,0,open book publishers,open book publishers
22014340,a,0--14,1985,0,1,0,penguin books,penguin books
1022640312,i,0--19,2018,1,0,1,oxford university press,oxford university press
1022833690,i,90--04,2018,0,0,1,brill,brill
24415203,a,0--440,1991,0,1,0,dell,dell
960953383,i,1--284,2015,1,0,1,jones and bartlett learning,jones and bartlett learning
794489189,i,0--8047,2012,1,0,1,stanford university press,stanford university press
1086728160,a,0--7494,1996,0,1,0,kogan page,kogan page
957731198,i,0--241,1982,0,1,0,hamish hamilton,hamish hamilton
1058714761,i,1--315 ;; 1--351,2018,1,0,1,routledge,routledge
1079831198,i,1--4842,2019,1,0,1,apress,apress
1051740182,i,1--55447,2015,1,0,1,"gaspereau press limited, printers and publishers",gaspereau press limited printers and publishers
223026884,a,0--7145,2000,0,1,0,marion boyars,marion boyars
893675821,i,0--300,2014,1,0,1,yale university press,yale university press
966318963,i,1--4422,2016,0,1,0,rowman and littlefield,rowman and littlefield
491850588,i,0--12,1975,0,1,0,academic press,academic press
316034337,a,0--679,2004,0,1,0,dell laurel-leaf,dell laurel leaf
704145241,a,0--567,1999,0,1,0,t. and t. clark,t and t clark
900913152,a,1--61250,2015,0,0,1,harvard education press,harvard education press
40615271,a,0--7538,1997,0,1,0,phoenix illustrated,phoenix illustrated
449945577,i,0--571,1994,0,1,0,faber and faber,faber and faber
926754101,i,1--941541,2015,0,0,1,pen name publishing,pen name publishing
162157166,i,0--7879,2006,1,0,1,jossey-bass,jossey bass
1090374805,i,1--949017,2019,0,0,1,or books llc,or books llc
1083393025, ,0--486,1950,0,1,0,dover publications,dover publications
915344326,i,1--4522,2009,1,0,1,"corwin, a sage company",corwin a sage company
1090217079,i,0--06,2012,1,0,1,william morrow,william morrow
907456159,i,1--4443,2010,1,0,1,wiley-blackwell,wiley blackwell
1084273280,i,0--930315,1985,1,0,1,educational communications inc,educational communications inc
51783144,a,0--439,2003,0,1,0,scholastic,scholastic
1066011537,i,0--309,2016,1,0,1,national academies press,national academies press
880201302,a,0--14,1994,0,1,0,penguin bookspuffin books,penguin bookspuffin books
1001456423,i,0--12,2018,1,0,1,academic press,academic press
912379053,i,1--138,2016,1,0,1,routledge/taylor and francis group,routledge taylor and francis group
1028579392,i,1--935002,2017,1,0,1,aftershock comics,aftershock comics
886483971,i,1--59474,2015,1,0,1,quirk books,quirk books
1051778107,i,0--8153,2019,1,0,1,routledge,routledge
758374719,i,0--552,1977,0,1,0,corgi books,corgi books
440668307,i,0--324,2006,0,1,0,south-western,south western
947930465,i,0--8010,2015,1,0,1,baker books,baker books
873725508,i,1--349 ;; 1--137,2014,1,0,1,palgrave macmillan,palgrave macmillan
839402448,a,1--4636,2011,0,0,1,grandmaster myung yong kim,grandmaster myung yong kim
889304711,i,1--939563,2014,1,0,1,primal blueprint publishing,primal blueprint publishing
913812445,i,1--63045,2015,1,0,1,nyq books,nyq books
952161556,i,1--4052,2016,1,0,1,egmont uk limited,egmont uk limited
957512189,i,1--84869,2016,1,0,1,little tiger press,little tiger press
849340525,i,0--8330,2013,1,0,1,rand corporation,rand corporation
965921651,i,0--521,1970,0,1,0,cambridge university press,cambridge university press
858949846,i,1--4538,2011,1,0,1,jk mcenroe,jk mcenroe
1027986392,i,1--78100 ;; 1--84844,2010,1,0,1,edward elgar,edward elgar
929085620,i,1--84859 ;; 0--85092,2008,1,0,1,commonwealth secretariat,commonwealth secretariat
891383549,i,1--315 ;; 1--317,2015,1,0,1,routledge,routledge
904962985,i,1--907982,2014,1,0,1,quality chess,quality chess
910608847,i,1--60058,2015,1,0,1,walter foster jr.,walter foster jr
52163326,a,0--7232,2002,0,1,0,frederick warne,frederick warne
491614680,i,0--85115,2002,0,1,0,boydell press,boydell press
879262317,i,0--674,2013,0,1,0,harvard university asia center,harvard university asia center
899010237,i,1--4832,1963,1,0,1,academic press inc,academic press inc
4056559,i,0--201,1978,0,1,0,addison-wesley pub. co,addison wesley pub co
1002060738,i,0--9709046,2007,1,0,1,playscripts inc,playscripts inc
25980245,a,0--262,1991,0,1,0,mit press,mit press
34308741,a,0--7505,1995,0,1,0,magna large print books,magna large print books
690237234,i,0--470,2009,0,1,0,wiley pub. inc,wiley pub inc
865083533,i,1--84739 ;; 0--7432,2009,1,0,1,pocket books,pocket books
1083721123,i,1--944602,2019,1,0,1,thanet house publishing,thanet house publishing
1049750730,a,0--201,1996,0,0,1,addison-wesley pub. co,addison wesley pub co
1059173379,i,0--316,2017,1,0,1,"little, brown and company",little brown and company
664332780,a,1--907002,2010,0,1,0,dublin city public libraries,dublin city public libraries
1013441464,a,0--415,2012,0,0,1,routledge,routledge
932622748,i,1--317,2016,1,0,1,"routledge, taylor and francis group",routledge taylor and francis group
933737831,i,0--553,1977,1,0,1,bantam books,bantam books
1083920163,i,1--108,2018,1,0,1,cambridge university press,cambridge university press
809886790,i,0--9819575,2011,1,0,1,montserrat college of art,montserrat college of art
441667264,i,0--471,1997,0,1,0,j. wiley and sons,j wiley and sons
37271053,a,0--553,1997,0,1,0,bantam books,bantam books
904531577,i,1--85332,2012,0,1,0,hayward publishing,hayward publishing
898476842,i,0--472,2014,1,0,1,university of michigan press,university of michigan press
948835330,i,0--9926695,2015,1,0,1,london borough of lambeth and the lambeth local history forum,london borough of lambeth and the lambeth local history forum
754714777,a,0--231,2010,0,1,0,columbia university press,columbia university press
214336, ,0--8046,1972,0,1,0,kennikat press,kennikat press
1029571319,i,1--107,2018,1,0,1,cambridgeuniversity press,cambridgeuniversity press
866887852,i,90--04,2013,0,1,0,brill,brill
872368681,i,1--62013,2013,1,0,1,duke classics,duke classics
1048461197,a,1--4939,2018,0,0,1,humana press,humana press
32874697,i,0--7897,1995,1,0,1,que,que
4903039,i,0--930368,1979,1,0,1,national lampoon magazine,national lampoon magazine
908323221,i,1--4104,2015,1,0,1,wheeler publishing,wheeler publishing
1097127054,a,0--691,2019,0,1,0,princeton university press,princeton university press
1098181078,i,1--60738,2018,1,0,1,taller del éxito,taller del e xito
24640739,a,0--262,1989,0,0,1,mit press,mit press
262884717,a,0--06,2009,0,1,0,harper,harper
503259532,a,0--88411,1981,0,1,0,amereon house,amereon house
879611958,i,1--4555,2014,1,0,1,"grand central publishing, hachette book group",grand central publishing hachette book group
879358649,i,0--606,2015,0,0,1,turtleback books,turtleback books
1055597864,i,1--84694,2012,1,0,1,o books,o books
1018114699,i,1--78657,2017,0,0,1,lonely planet,lonely planet
886672140,i,1--62841,2014,1,0,1,spie press,spie press
893676737,i,1--315,2014,1,0,1,routledge,routledge
1029058328,i,1--9841,2018,1,0,1,createspace independent publishing platform,createspace independent publishing platform
803522690,a,0--13 ;; 0--321,2011,0,1,0,addison-wesley,addison wesley
1089836239,i,1--338,2019,1,0,1,scholastic,scholastic
607478698,a,1--58741,2000,0,1,0,wellness institute,wellness institute
1082580369,a,0--665,1980,0,1,0,s.e. cassino,s e cassino
884587091,i,1--4988,2014,1,0,1,gideon informatics inc,gideon informatics inc
299648154,a,0--471,1993,0,1,0,j. wiley,j wiley
964435031,a,0--8024,1968,0,1,0,moody press,moody press
1006293850,i,3--662,2017,1,0,1,lightning source uk ltd,lightning source uk ltd
862285703,i,0--521,1993,0,1,0,cambridge university press,cambridge university press
1048050143,i,1--250,2018,1,0,1,minotaur books,minotaur books
945948898,i,1--907804,2016,1,0,1,frick collection,frick collection
878138985,i,1--134 ;; 1--315,2013,1,0,1,routledge,routledge
1031422499,i,0--8135,2018,1,0,1,rutgers university press,rutgers university press
213455193,i,0--8223 ;; 1--283,2004,1,0,1,duke university press,duke university press
857067496,a,0--203 ;; 0--7007 ;; 1--136 ;; 0--415,2011,0,1,0,routledge,routledge
223904619,a,0--00,2003,0,1,0,harpercollins,harpercollins
946976930,i,1--138,2016,1,0,1,"routledge, taylor and francis group",routledge taylor and francis group
729248909,a,1--4487 ;; 0--545 ;; 0--329,2011,0,1,0,scholastic,scholastic
951900052,i,1--138,2016,0,1,0,routledge,routledge
948597800,i,1--62892,2016,0,1,0,bloomsbury academic,bloomsbury academic
843022368,a,1--299,1992,0,1,0,fawcett books,fawcett books
1818121,i,0--915782,1975,1,0,1,little brown house publishing company,little brown house publishing company
1090301561,i,0--429,2019,1,0,1,routledge,routledge
946605586,i,0--335,2017,0,0,1,open university press/mcgraw-hill education,open university press mcgraw hill education
1019684612,i,1--62692,2017,1,0,1,seven seas entertainment,seven seas entertainment
875200339,i,0--931745,2013,1,0,1,dunwoody press,dunwoody press
1097091675,i,0--8229,2013,1,0,1,university of pittsburgh press,university of pittsburgh press
1037650024,a,1--899287,2006,0,0,1,palgrave macmillan,palgrave macmillan
823260543,a,0--545,2011,0,1,0,scholastic,scholastic
1031501909,i,1--4063,2018,1,0,1,walker books ltd,walker books ltd
899253325,i,1--4440,2014,1,0,1,orion,orion
690282723,i,0--521,2010,0,1,0,cambridge university press,cambridge university press
868436840,i,3--0343,2012,0,1,0,p. lang,p lang
1041899578,i,3--96171,2018,1,0,1,teneues,teneues
1058894887,i,1--4684,1975,1,0,1,plenum press,plenum press
967096350,i,1--4222,2017,1,0,1,mason crest,mason crest
1054260528,i,1--350,2019,1,0,1,"bloomsbury academic, bloomsbury publishing plc",bloomsbury academic bloomsbury publishing plc
872549502,i,1--4668,2014,1,0,1,st. martin's press,st martin's press
1089804754,i,1--9832,2018,1,0,1,createspace independent publishing platform,createspace independent publishing platform
1082793133,i,1--4426,1997,1,0,1,university of toronto press,university of toronto press
1037644625,i,1--351,2018,1,0,1,routledge,routledge
1054261029,i,1--63388,2019,1,0,1,prometheus books,prometheus books
876684680,i,1--4778,2014,1,0,1,thomas and mercer,thomas and mercer
17875329,a,0--936784,1988,0,1,0,j. daniel,j daniel
1055014452,i,90--04,2018,0,0,1,brill,brill
896874814,i,1--84920,2014,0,1,0,sage,sage
906817112,a,1--55937,1992,0,1,0,ieee,ieee
1010505435,i,1--108,2018,1,0,1,cambridge university press,cambridge university press
355281636,i,1--60686 ;; 0--7868,2007,1,0,1,disney-hyperion books,disney hyperion books
27042281,i,0--395,1973,1,0,1,houghton mifflin,houghton mifflin
964571687,i,1--305,2015,1,0,1,cengage learning,cengage learning
690287250,i,0--300,2009,0,1,0,yale university press,yale university press
1085545203,i,1--5417,2019,1,0,1,publicaffairs,publicaffairs
939502405,a,1--4094,2014,0,1,0,ashgate publishing limited,ashgate publishing limited
1058987876,i,0--8223,2016,1,0,1,duke university press,duke university press
883432064,a,0--590 ;; 0--13 ;; 0--694 ;; 0--87807,1996,0,1,0,windmill,windmill
225316609,a,1--4056,2006,0,1,0,bbc audiobooks,bbc audiobooks
849286380,i,0--446,2005,0,1,0,warner books,warner books
530930808,a,0--7862,1996,0,1,0,thorndike press,thorndike press
319788012,i,0--7089,1989,0,1,0,linford,linford
866816343,i,1--937846,2013,1,0,1,sasc llc,sasc llc
869053045,a,0--88010,1984,0,1,0,anthroposophic press,anthroposophic press
1051771215,i,0--573,2017,1,0,1,samuel french,samuel french
936528057,i,90--8964,2016,1,0,1,amsterdam university press,amsterdam university press
1017756731,i,1--5394,2017,1,0,1,createspace independent publishing platform,createspace independent publishing platform
870989371,i,1--4516 ;; 1--4767,2013,0,1,0,simon and schuster,simon and schuster
1037096281,i,1--5247,2018,1,0,1,hogarth,hogarth
1030942493,i,1--5104,2018,1,0,1,"hodder education, an hachette uk company",hodder education an hachette uk company
456829867,a,1--4431,2010,0,1,0,scholastic canada,scholastic canada
1043688249,i,0--545,2014,1,0,1,scholastic inc,scholastic inc
5105929,i,0--00,1978,0,0,1,collins,collins
35802598,a,0--521,1996,0,1,0,cambridge university press,cambridge university press
945657338,a,1--4843,2016,0,0,1,international monetary fund,international monetary fund
60749341,a,0--585,1994,0,1,0,mit press,mit press
68133166,i,1--55659,2006,1,0,1,copper canyon press,copper canyon press
10952283,a,0--14,1984,0,1,0,penguin,penguin
1033552823,i,1--4494,2018,1,0,1,andrews mcmeel publishing,andrews mcmeel publishing
1007033774,i,0--19,2018,1,0,1,oxford university press,oxford university press
937417677,a,0--393,2001,0,1,0,w.w. norton,w w norton
922583003,i,1--4559,2015,1,0,1,national fire protection association,national fire protection association
1012075924,i,1--74360,2016,1,0,1,lonely planet publications pty. ltd,lonely planet publications pty ltd
886477952,i,1--61620,2015,1,0,1,algonquin young readers,algonquin young readers
609529892,a,0--88464,1992,0,1,0,braun center for holocaust studies and martin gilbert,braun center for holocaust studies and martin gilbert
1055761118,i,1--4426,1993,1,0,1,university of toronto press,university of toronto press
891449696,i,0--203 ;; 1--134,2015,1,0,1,routledge,routledge
1035134554,i,0--553,2001,0,1,0,bantam books,bantam books
1042353515,i,1--302,2018,1,0,1,"marvel worldwide, inc., a subsidiary of marvel entertainment llc",marvel worldwide inc a subsidiary of marvel entertainment llc
903907799,i,0--307,2015,1,0,1,vintage books,vintage books
232661479,a,0--89862,1989,0,1,0,guilford press,guilford press
1029568655,i,1--944229,2017,1,0,1,wnd books,wnd books
1028005538,i,0--85793 ;; 1--84844,2010,1,0,1,edward elgar,edward elgar
938397828,i,0--414,2016,1,0,1,thomson reuters/sweet and maxwell,thomson reuters sweet and maxwell
914290607,i,1--305,2016,1,1,0,cengage learning,cengage learning
1082158307,i,1--4724,2014,1,0,1,gower,gower
23085734,a,0--7063,1990,0,1,0,sterling pub. co,sterling pub co
1031950722,i,1--250,2019,0,0,1,picador,picador
894171061,a,1--4094,2014,0,0,1,ashgate,ashgate
809419262,a,1--84617,2005,0,1,0,f.a. thorpe,f a thorpe
12949795,a,0--7451 ;; 0--89340,1986,0,1,0,chivers press,chivers press
1020312821,i,1--138 ;; 1--317,2018,1,0,1,routledge,routledge
917246918,i,0--345,2009,1,0,2,ballantine books,ballantine books
1028007009,i,1--84376 ;; 1--84542,2004,1,0,1,edward elgar,edward elgar
421601015,a,0--380,1977,0,1,0,avon books,avon books
16226653,a,0--89281,1987,0,1,0,destiny books,destiny books
1257123,i,0--8193,1975,1,0,1,parents' magazine press,parents' magazine press
29230913,a,0--373,1993,0,1,0,silhouette,silhouette
283806336,a,0--19,2001,0,1,0,oxford university press,oxford university press
938849350,i,0--316,2016,1,0,1,"mulholland books/little, brown and company",mulholland books little brown and company
826899108,i,1--61783,2013,1,0,1,abdo publishing company,abdo publishing company
884832901,a,1--58547,2007,0,1,0,center point large print,center point large print
237130722, ,0--670,1973,0,1,0,bodley head,bodley head
951526278,i,1--349,2000,1,0,1,palgrave macmillan,palgrave macmillan
867076164,i,0--8071,2011,0,1,0,louisiana state university press,louisiana state university press
1054829231,i,1--338,2018,1,0,1,scholastic inc,scholastic inc
462098195, ,0--8010,1973,0,1,0,baker book house,baker book house
1037883890,i,1--138,2018,1,0,1,routledge,routledge
7443179,a,0--8478,1981,0,1,0,rizzoli,rizzoli
1038156179,a,0--590,1999,0,1,0,scholastic inc,scholastic inc
520835052,a,1--84148,2004,0,1,0,barefoot books,barefoot books
951509546,i,0--9972899,2016,0,0,1,double take,double take
896610703,i,0--571,2014,1,0,1,faber and faber,faber and faber
8169798,a,0--8161,1982,0,1,0,g.k. hall,g k hall
36802724,a,0--06,1997,0,1,0,harperperennial,harperperennial
957135011,i,1--911512,2017,1,0,1,helion and company limited,helion and company limited
495306636,i,3--11,2009,0,1,0,w. de gruyter,w de gruyter
1055653961,i,1--4063,2018,1,0,1,walker books,walker books
1074283131,i,0--06,2018,1,0,1,katerine tegen,katerine tegen
892973302,i,1--85833,1995,1,0,1,john hinde ltd,john hinde ltd
910513241,i,0--415,2015,0,1,0,routledge,routledge
867131784,i,0--415,2013,0,1,0,routledge,routledge
758318161,i,0--12,1981,0,1,0,academic press,academic press
1029330170,a,0--517,1994,0,1,0,cresent books,cresent books
1000302672,i,1--5470,2017,1,0,1,createspace independent publishing platform,createspace independent publishing platform
26252204,a,1--55817,1992,0,1,0,pinnacle books,pinnacle books
912317060,i,1--78439,2015,1,0,1,packt publishing,packt publishing
940521063,i,1--78029,2016,1,0,1,crème de la crime,cre me de la crime
769591610,i,0--395,1997,1,0,1,houghton mifflin,houghton mifflin
913768348,i,1--4671,2015,1,0,1,arcadia publishing,arcadia publishing
1001369724,i,0--691 ;; 1--4008,2017,1,0,1,princeton university press,princeton university press
913955693,i,1--315 ;; 1--317,2016,1,0,1,routledge,routledge
173513029,a,0--09,1987,0,1,0,arrow books,arrow books
491871969,i,0--226,2005,0,1,0,university of chicago press,university of chicago press
1045458312,i,1--78548,2018,1,0,1,iste press ltd,iste press ltd
52458902,i,0--88899,2003,1,0,1,douglas and mcintyre,douglas and mcintyre
881656539,i,1--61200,2014,1,0,1,casemate publishers,casemate publishers
12573455,a,0--380,1985,0,1,0,avon,avon
875096862,i,1--315 ;; 1--317,2016,1,0,1,"routledge, taylor and francis",routledge taylor and francis
1029345898,i,0--14,2017,1,0,1,viking,viking
881663085,i,1--4696,2013,0,1,0,"university of north carolina press, department of romance languages",university of north carolina press department of romance languages
1033605383,i,1--78493 ;; 1--68297,2018,1,0,1,qeb,qeb
939502574,a,0--8157,2015,0,1,0,brookings institution press,brookings institution press
880456666,i,0--334,1989,1,0,1,scm press,scm press
427309003, ,0--8398,1970,0,1,0,literature house,literature house
41638519,a,0--9658028,1999,0,1,0,beowulf,beowulf
899253143,i,1--78185,2014,1,0,1,head of zeus,head of zeus
881284057,i,1--4660,2011,1,0,1,smashwords edition,smashwords edition
1086946164,u,0--674,2013,0,1,0,harvard university press,harvard university press
921175516,i,90--04,2015,0,1,0,rodopi,rodopi
493813085,i,0--596,2006,0,1,0,o'reilly,o'reilly
1050113633,i,1--338,2018,0,0,1,scholastic inc,scholastic inc
440838808,a,0--19,1996,0,1,0,humanities research centre,humanities research centre
243466092,i,0--9614574,1989,0,1,0,teaching inc,teaching inc
219833822,a,0--394,1973,0,1,0,grove,grove
1032369379,i,1--64080,2018,1,0,1,harmony ink,harmony ink
1058480280,i,0--7494,2016,1,0,1,kogan page,kogan page
918910737,i,0--9864304,2015,1,0,1,dynamama,dynamama
1030898549,i,0--8173,1992,1,0,1,university alabama press,university alabama press
1088512197,i,1--350,2019,0,0,1,bloomsbury academic,bloomsbury academic
1009042504,i,1--78676 ;; 1--351,2017,1,0,1,burleigh dodds science publishing,burleigh dodds science publishing
945740076,i,0--19,2016,1,0,1,oxford university press,oxford university press
922528392,i,0--7456,1988,1,0,1,polity press,polity press
4266381,i,0--297,1968,0,1,0,weidenfeld and nicolson,weidenfeld and nicolson
938666,i,0--85456,1974,1,0,1,ulverscroft,ulverscroft
20012936,i,0--316,1989,1,0,1,"little, brown",little brown
1058401549,i,1--4527 ;; 1--280 ;; 1--4519 ;; 1--4552,2004,1,0,1,international monetary fund,international monetary fund
874151559,i,1--315,2013,1,0,1,routledge,routledge
1037897523,i,1--4965,2019,1,0,1,stone arch books,stone arch books
944312745,i,1--5098,2016,1,0,1,macmillan children's books,macmillan children's books
1083181501,i,1--5106,2019,1,0,1,spie press,spie press
911138588,i,1--5089,2015,1,0,1,cynthia valero,cynthia valero
220972309,a,0--00,1972,0,1,0,collins,collins
42014132,a,1--57566,1999,0,1,0,kensington books,kensington books
319897458,i,0--8161,1993,0,1,0,g.k. hall,g k hall
1080520153,i,0--7166,2018,1,0,1,world book inc,world book inc
899253013,i,1--59572,2014,1,0,1,star bright books,star bright books
877017789,i,1--78064,2013,1,0,1,cabi,cabi
1090297486,i,0--19,2019,1,0,1,oxford university press,oxford university press
889315930,i,1--315,2015,1,0,1,routledge,routledge
889302120,i,0--906094,2013,1,0,1,gibb memorial trust,gibb memorial trust
785134075,a,1--4094,2012,0,0,1,ashgate,ashgate
1044556809,i,0--415 ;; 1--315 ;; 1--317,2015,1,0,1,routledge,routledge
966185943,i,0--345,2015,1,0,1,ballantine books,ballantine books
319757366,i,0--312 ;; 0--7540,2001,0,1,0,chivers press,chivers press
34750057,a,0--912696,1995,0,1,0,wilton enterprises,wilton enterprises
962878492,a,0--440,1991,0,1,0,dell,dell
1081080717,i,1--78040,2018,1,0,1,iwa publishing,iwa publishing
960950773,i,0--545,2016,1,0,1,scholastic inc,scholastic inc
935954212,i,0--9969550,2015,1,0,1,j. b. reid,j b reid
929447156,i,0--86526,2015,1,0,1,state archives of north carolina,state archives of north carolina
436094760,i,0--435,1970,0,1,0,heinemann educational books,heinemann educational books
644553683,a,1--4165,2010,0,1,0,gallery books,gallery books
1022980851,i,1--250,2018,1,0,1,minotaur books,minotaur books
891654735,a,1--118,2012,0,0,1,wiley-blackwell,wiley blackwell
39744454,a,0--8125,1998,0,1,0,tor,tor
1016503658,i,1--4165,2010,0,0,1,scribner,scribner
1082869113,i,1--302,2018,0,1,0,marvel worldwide inc,marvel worldwide inc
224372970,a,1--84413,2000,0,1,0,pimlico,pimlico
1027549148,i,0--226,2017,1,0,1,university of chicago press,university of chicago press
861326748,a,1--59707,2009,0,1,0,papercutz,papercutz
907957368,i,0--07,2015,1,0,1,mcgraw-hill education,mcgraw hill education
490721727,i,0--87436,1996,0,1,0,abc-clio,abc clio
17334496,a,0--7278,1987,0,1,0,severn house,severn house
1057241218,i,0--674,2019,1,0,1,belknap press of harvard university press,belknap press of harvard university press
951800843,i,1--4665,2014,0,1,0,crc press,crc press
921867654,i,1--84893 ;; 1--315,2016,0,1,0,routledge,routledge
3356665,i,0--671,1976,0,1,0,pocket books,pocket books
859777256,i,0--8050,2013,1,0,1,"henry holt and company/square fish, imprints of macmillan",henry holt and company square fish imprints of macmillan
795356436,a,0--14,2009,0,1,0,sleuth speak,sleuth speak
813410306,i,0--9832209,2011,1,0,1,mary goulet media,mary goulet media
406442653,a,0--425,1977,0,1,0,berkley pub. co,berkley pub co
1085905635,i,1--335,2019,1,0,1,love inspired books,love inspired books
4570670,i,0--03,1979,0,1,0,"holt, rinehart and winston",holt rinehart and winston
907161121,i,1--63152,2015,1,0,1,she writes press,she writes press
922577064,a,0--547,2013,0,1,0,hmh books,hmh books
757076050,a,0--19,1986,0,1,0,clarendon press,clarendon press
490516560,i,0--521,1992,0,1,0,cambridge university press,cambridge university press
1056993153,u,1--55783,2000,0,0,1,applause theatre books,applause theatre books
874147372,i,1--62948,2014,1,0,1,"nova science publishers, incorporation",nova science publishers incorporation
19245417,a,0--944276,1989,0,1,0,tudor pub. co,tudor pub co
905597712,i,1--63421,2014,1,0,1,duke classics,duke classics
422101808,a,0--374,1971,0,1,0,octagon books,octagon books
954554292,i,1--138,2016,1,0,1,"routledge, taylor and francis group",routledge taylor and francis group
794603960,i,0--8070,2012,1,0,1,beacon press,beacon press
874172573,i,1--315,2014,1,0,1,routledge,routledge
712016146,i,0--7867,1994,1,0,1,"basic books, a member of the perseus books group",basic books a member of the perseus books group
967210128,i,1--4724,2017,0,1,0,routledge,routledge
904239378,i,1--60635,2014,1,0,1,kent state university press,kent state university press
56664594,a,0--87508,1993,0,1,0,christian literature crusade,christian literature crusade
904421869,i,0--7851,2015,1,0,1,marvel worldwide inc,marvel worldwide inc
953027922,i,90--04,2016,0,1,0,brill,brill
891385063,i,1--312,2014,1,0,1,sheba blake publishing,sheba blake publishing
814412324,i,0--7858,1989,0,1,0,castle books,castle books
4560059,i,0--8478,1978,1,0,1,rizzoli international publications inc,rizzoli international publications inc
927130659,i,1--910173,2015,1,0,1,scholastic ltd,scholastic ltd
905523493,i,1--78023,2015,1,0,1,reaktion books ltd,reaktion books ltd
1085238825,i,1--78831 ;; 1--78813,2019,0,0,1,i.b. tauris,i b tauris
785631225,a,1--59961,2009,0,1,0,tokyopop,tokyopop
1011658148,i,0--674,2017,1,0,1,harvard university press,harvard university press
8929731,a,0--690,1983,0,1,0,crowell,crowell
964425345,a,0--7089,1988,0,1,0,f.a. thorpe (publishing) ltd,f a thorpe publishing ltd
906704712,i,1--4976,2015,1,0,1,open road integrated media,open road integrated media
